      2014    2010    2006,,,,,,,
BE   79514   65723   67564,,,BE  ,,,,BE
DE  674732  661578  884707,,,DE  ,,,,
DK 2309358 2596888 2680872,,,DK ,,,,
EE  242623  340400  296160,,,EE ,,,,
ES 1125042 1195609 1163588,,,ES 1125042 1195609 1163588,,,,
FI  616519  508880  451731,,,FI  616519  508880  451731,,,,
FO 2233183 1569259 2597422,,,FO 2233183 1569259 2597422,,,,
FR 1324899 1021874 1310819,,,FR 1324899 1021874 1310819,,,,
GG    4572   10119    5265,,,GG    4572   10119    5265,,,,
GL  548995  123637  150961,,,GL  548995  123637  150961,,,,
IE  889214  971306  698563,,,IE  889214  971306  698563,,,,
IM   13369   24028    3627,,,IM   13369   24028    3627,,,,
JE    4416    5466       0,,,JE    4416    5466       0,,,,
LT  160215   78157   67564,,,LT  160215   78157   67564,,,,
LV  246703  305034  335881,,,LV  246703  305034  335881,,,,
NL  903008  942744 1145406,,,NL  903008  942744 1145406,,,,
NO  751748 9369447 7987448,,,NO  751748 9369447 7987448,,,,
PL  496597  462437  467510,,,PL  496597  462437  467510,,,,
PT  430327  569835  582531,,,PT  430327  569835  582531,,,,
RU 3682516 3645490 3441168,,,RU 3682516 3645490 3441168,,,,
SE  622133  770899  967208,,,SE  622133  770899  967208,,,,
UK 2315921 1822181 1868627,,,UK 2315921 1822181 1868627,,,,